Class ID,Preferred Label,Synonyms,Definitions,Obsolete,CUI,Semantic Types,Parents,http://protege.stanford.edu/plugins/owl/protege#defaultLanguage,Alt name,http://purl.obolibrary.org/obo/IAO_0000119#formal_citation
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Abandonment,Abandonment,,"Loneliness, anxiety, and emotional and psychological loss
of support resulting from desertion or neglect. Used for
human populations.",FALSE,,,http://www.w3.org/2002/07/owl#Thing,,Desertion,"
						Thesaurus of Psychological Index Terms Edited by Ian
						Galloway Published by American Psychological Association 2014
					"
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Abdomen,Abdomen,,,FALSE,,,http://www.w3.org/2002/07/owl#Thing,,,"
						Thesaurus of Psychological Index Terms Edited by Ian
						Galloway Published by American Psychological Association 2014
					"
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Abdominal_Wall,Abdominal Wall,,,FALSE,,,http://www.w3.org/2002/07/owl#Thing,,,"
						Thesaurus of Psychological Index Terms Edited by Ian
						Galloway Published by American Psychological Association 2014
					"
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Abducens_Nerve,Abducens Nerve,,"Cranial motor nerve controlling the lateral rectus muscle
of the eye.",FALSE,,,http://www.w3.org/2002/07/owl#Thing,,Nerve (Abducens),"
						Thesaurus of Psychological Index Terms Edited by Ian
						Galloway Published by American Psychological Association 2014
					"
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Ability,Ability,,"Conceptually broad term referring to the skills,
talents, or qualities that enable one to perform a
task. Use a more specific term if possible.",FALSE,,,http://www.w3.org/2002/07/owl#Thing,,Aptitude,"
						Thesaurus of Psychological Index Terms Edited by Ian
						Galloway Published by American Psychological Association 2014
					"
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Ability_Grouping,Ability Grouping,,"Grouping or selection of individuals for
instructional or other purposes based on
differences in ability or achievement.",FALSE,,,http://www.w3.org/2002/07/owl#Thing,,,"
						Thesaurus of Psychological Index Terms Edited by Ian
						Galloway Published by American Psychological Association 2014
					"
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Ability_Level,Ability Level,,"Demonstrated level of performance. Used in
academic, cognitive, perceptual, or occupational
contexts, as well as an indicator of a patient's
level of functioning.",FALSE,,,http://www.w3.org/2002/07/owl#Thing,,Level of Functioning|Functional Status,"
						Thesaurus of Psychological Index Terms Edited by Ian
						Galloway Published by American Psychological Association 2014
					"
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Abnormal_Psychology,Abnormal Psychology,,"Branch of psychology concerned with the study of
mental disorders.",FALSE,,,http://www.w3.org/2002/07/owl#Thing,,,"
						Thesaurus of Psychological Index Terms Edited by Ian
						Galloway Published by American Psychological Association 2014
					"
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Abortion_(Attitudes_Toward),Abortion (Attitudes Toward),,"Beliefs or perceptions held by individuals or organizations pertaining to the necessity, morality, and importance of induced abortions.",FALSE,,,http://www.w3.org/2002/07/owl#Thing,,Pro Life|Pro Choice,"
						Thesaurus of Psychological Index Terms Edited by Ian
						Galloway Published by American Psychological Association 2014
					"
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Abortion_Laws,Abortion Laws,,,FALSE,,,http://www.w3.org/2002/07/owl#Thing,,,"
						Thesaurus of Psychological Index Terms Edited by Ian
						Galloway Published by American Psychological Association 2014
					"
