Class ID,Preferred Label,Synonyms,Definitions,Obsolete,CUI,Semantic Types,Parents,alternative term,antisymmetricProperty,correlatedWith,curator note,definition,definitionEditor,definitionSource,editorNote,editorPreferedTerm,elucidation,exampleOfUsage,expand assertion to,expandExpressionTo,first order logic expression,has associated axiom(fol),has associated axiom(nl),has axiom label,has ID digit count,has ID policy for,has ID prefix,has ID range allocated to,hasAge,hasCurationStatus,hasDiagnostic,hasFinances,hasGender,hasMaritalStatus,hasMinimalInformation,hasObsolescenceReason,hasPercentageDistribution,hasRace,http://data.bioontology.org/metadata/obo/part_of,http://data.bioontology.org/metadata/prefixIRI,http://data.bioontology.org/metadata/treeView,http://protege.stanford.edu/plugins/owl/protege#defaultLanguage,http://purl.org/dc/elements/1.1/contributor,http://purl.org/dc/elements/1.1/coverage,http://purl.org/dc/elements/1.1/creator,http://purl.org/dc/elements/1.1/date,http://purl.org/dc/elements/1.1/description,http://purl.org/dc/elements/1.1/format,http://purl.org/dc/elements/1.1/identifier,http://purl.org/dc/elements/1.1/language,http://purl.org/dc/elements/1.1/publisher,http://purl.org/dc/elements/1.1/relation,http://purl.org/dc/elements/1.1/rights,http://purl.org/dc/elements/1.1/source,http://purl.org/dc/elements/1.1/subject,http://purl.org/dc/elements/1.1/title,http://purl.org/dc/elements/1.1/type,http://purl.org/dc/terms/license,http://www.geneontology.org/formats/oboInOwl#created_by,http://www.geneontology.org/formats/oboInOwl#creation_date,importedFrom,in branch,is allocated id range,isDenotatorType,may be identical to,measures,OBO foundry unique label,ontology term requester,ro:locatedIn,ro:locationOf,ro:participatesIn,ro:partOf,scheduled for obsoletion on or after,term replaced by,term tracker item
http://purl.org/net/miCLIP#MiddleSchoolStudent,Middle School Student,,"Middle schools students are students coursing between the fourth or fifth year of schooling up to the eighth or ninth year, although this may vary.",false,,,http://purl.bioontology.org/ontology/SNOMEDCT/65853000,,,,,"Middle schools students are students coursing between the fourth or fifth year of schooling up to the eighth or ninth year, although this may vary.",,adapted from: http://en.wikipedia.org/wiki/Middle_school,,,,,,,,,,,,,,,,,,,,,,,,,,clip:MiddleSchoolStudent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Geographic_Area,Geographic Area,,Any demarcated area of the Earth; may be determined by both natural and human boundaries.,false,,,http://www.w3.org/2002/07/owl#Thing,"Area
Region
Geographic Location
Geographic Region",,,,Any demarcated area of the Earth; may be determined by both natural and human boundaries.,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thesaurus:Geographic_Area,,,,,,,,,,,,,,,,,,,,,NCI thesaurus,,,,,,,,,,,,,,
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C90516,Citizen,,"A native or naturalized member of a state or country, especially one entitled to vote and enjoy other privileges there.",false,,,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Person,,,,,"A native or naturalized member of a state or country, especially one entitled to vote and enjoy other privileges there.",,,,,,,,,,,,,,,,,,,,,,,,,,,,Thesaurus:C90516,,,,,,,,,,,,,,,,,,,,,NCI thesaurus,,,,,,,,,,,,,,
http://purl.bioontology.org/ontology/CSP/4001-0016,Bisexual,,"possessing both homosexual and heterosexual preferences; or true hermaphroditism, having gonads of both sexes.",false,,,http://purl.bioontology.org/ontology/CSP/4008-0087,,,,,"possessing both homosexual and heterosexual preferences; or true hermaphroditism, having gonads of both sexes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CRISP thesaurus, 2006",,,,,,,,,,,,,,
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Adjustment_Disorder,Adjustment Disorder,,A category of psychiatric disorders which are characterized by emotional or behavioral symptoms that develop within 3 months of a stressor and do not persist for more than an additional 6 months after the stressor is no longer present.,false,,,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Psychiatric_Disorder,,,,,A category of psychiatric disorders which are characterized by emotional or behavioral symptoms that develop within 3 months of a stressor and do not persist for more than an additional 6 months after the stressor is no longer present.,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thesaurus:Adjustment_Disorder,,,,,,,,,,,,,,,,,,,,,NCI thesaurus,,,,,,,,,,,,,,
http://purl.bioontology.org/ontology/RCD/Ua1b8,Transsexual,,,false,,,http://purl.bioontology.org/ontology/CSP/4008-0087,Sex change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RCD:Ua1b8,,,,,,,,,,,,,,,,,,,,,"Read Codes, Clinical Terms Version 3 (CTV3)",,,,,,,,,,,,,,
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C73509,Love,,A strong positive emotion of affection and attraction.,false,,,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Emotion,,,,,A strong positive emotion of affection and attraction.,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thesaurus:C73509,,,,,,,,,,,,,,,,,,,,,NCI thesaurus,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/IAO_8000008,analysis subset ontology module,,An ontology module that is intended for usage in analysis or discovery applications.,false,,,http://purl.obolibrary.org/obo/IAO_8000006,,,,,An ontology module that is intended for usage in analysis or discovery applications.,,,,,,,,,,,,,,,,,,,,,,,,,,,,IAO:8000008,,,,,,,,,,,,,,,,,,,cjm,2018-05-20T20:58:49Z,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/IAO_8000020,EL++ ontology module,,,false,,,http://purl.obolibrary.org/obo/IAO_8000019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IAO:8000020,,,,,,,,,,,,,,,,,,,cjm,2018-05-22T04:16:48Z,,,,,,,,,,,,,,,
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Finding,Finding,,"Clinical, laboratory or molecular evidence, or absence of evidence of disease.",false,,,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Diseases_Disorders_and_Findings,,,,,"Clinical, laboratory or molecular evidence, or absence of evidence of disease.",,,,,,,,,,,,,,,,,,,,,,,,,,,,Thesaurus:Finding,,,,,,,,,,,,,,,,,,,,,NCI thesaurus,,,,,,,,,,,,,,
